status,reason,source,title,begin,end,lat,lng,link
"DROPPED","OUT_OF_WINDOW","mobilize","Compost Hub Support: Carver Middle School","2025-10-03","2025-10-03","34.0016453","-118.2608688","https://www.mobilize.us/lacompost/event/547806/"
"DROPPED","OUT_OF_WINDOW","mobilize","Compost Hub Support: Cottonwood Urban Farm","2025-10-04","2025-10-04","34.2227927","-118.4286908","https://www.mobilize.us/lacompost/event/547815/"
"DROPPED","OUT_OF_WINDOW","mobilize","Compost Hub Support: CultivaLA Farm","2025-10-03","2025-10-03","34.0411018","-118.0521017","https://www.mobilize.us/lacompost/event/547816/"
"DROPPED","OUT_OF_WINDOW","mobilize","Compost Hub Support: Griffith Park","2025-10-05","2025-10-05","34.1449992","-118.2937859","https://www.mobilize.us/lacompost/event/547821/"
"DROPPED","OUT_OF_WINDOW","mobilize","Compost Hub Support: SOW Collective Backyard Farm","2025-10-08","2025-10-08","34.2408494","-118.4301052","https://www.mobilize.us/lacompost/event/547833/"
"DROPPED","OUT_OF_WINDOW","mobilize","EDF Action MI Environmental Book Club","2025-10-11","2025-10-11","","","https://www.mobilize.us/edfaction/event/547904/"
"DROPPED","OUT_OF_WINDOW","mobilize","Food Scraps Collection: Atwater Village Farmers' Market","2025-10-05","2025-10-05","34.117835","-118.2601956","https://www.mobilize.us/lacompost/event/548043/"
"DROPPED","OUT_OF_WINDOW","mobilize","Food Scraps Collection: Elysian Valley Community Garden","2025-10-05","2025-10-05","34.0971922","-118.2430766","https://www.mobilize.us/lacompost/event/548058/"
"DROPPED","OUT_OF_WINDOW","mobilize","Food Scraps Collection: Wellington Square Farmers' Market","2025-10-05","2025-10-05","34.0395594","-118.3350997","https://www.mobilize.us/lacompost/event/548070/"
"DROPPED","OUT_OF_WINDOW","mobilize","Food Scraps Collection: Silver Lake Farmers' Market","2025-10-04","2025-10-04","34.0902885","-118.2781057","https://www.mobilize.us/lacompost/event/548075/"
"DROPPED","OUT_OF_WINDOW","mobilize","Food Scraps Collection: Crenshaw Farmers' Market","2025-10-04","2025-10-04","33.9900079","-118.3302813","https://www.mobilize.us/lacompost/event/548077/"
"DROPPED","OUT_OF_WINDOW","mobilize","KY Voting Rights Coalition Monthly Meeting","2025-10-23","2025-10-23","38.2429908","-85.7641013","https://www.mobilize.us/kftc/event/548140/"
"DROPPED","OUT_OF_WINDOW","mobilize","WFP Leadership Activist to Activist Call Party","2025-10-09","2025-10-09","","","https://www.mobilize.us/workingfamilies/event/548652/"
"DROPPED","OUT_OF_WINDOW","mobilize","Join the Hancock County Dems' Monthly Meeting!","2025-10-13","2025-10-13","41.037409","-83.6560674","https://www.mobilize.us/hancockohdems/event/548758/"
"DROPPED","OUT_OF_WINDOW","mobilize","District 2 (Cocoa/Rockledge/Merritt Island/Cape Canaveral/Cocoa Beach) Monthly Meeting","2025-10-07","2025-10-07","28.3766412","-80.7718193","https://www.mobilize.us/brevarddems/event/548852/"
"DROPPED","OUT_OF_WINDOW","mobilize","NJ: North Jersey Volunteer Team Monthly Meeting","2025-10-22","2025-10-22","","","https://www.mobilize.us/fwa/event/549814/"
