date,lat,lng,link_count
2025-06-14,38.6260402,-90.1908864,2
2025-06-14,48.4171404,-119.5094811,2
2025-06-14,47.3620375,-122.0207078,2
2025-06-10,44.5161876,-88.0236543,2
2025-06-14,33.9794373,-78.3765428,2
2025-06-14,39.9069708,-75.0445101,3
2025-06-14,30.4024915,-86.6070863,3
2025-06-14,39.7642826,-84.1899414,2
2025-06-14,25.1213054,-80.4172668,2
2025-06-14,37.9662536,-122.3094246,2
2025-06-14,29.4281151,-98.4891472,2
2025-06-10,39.0272588,-86.9483686,2
2025-06-14,41.924389,-73.905303,2
2025-06-14,40.8685717,-82.3192311,2
2025-06-14,34.4144773,-119.685166,2
2025-06-14,41.7642631,-72.6822803,2
2025-06-14,27.8945609,-82.7871997,2
2025-06-14,34.0209858,-118.3954832,2
2025-06-14,45.631375,-89.4085439,2
2025-06-14,38.6768242,-121.7677142,2
2025-06-14,35.1322069,-118.4664138,2
2025-06-14,43.2703822,-89.7229381,2
2025-06-14,36.0981982,-80.2502932,3
2025-06-14,28.8246436,-81.6443379,2
2025-06-14,27.9153121,-82.7852784,2
2025-06-14,42.4991277,-90.6681586,2
2025-06-14,28.8271938,-81.7965862,2
2025-06-14,28.3112549,-81.4159337,2
2025-06-14,35.3187279,-82.4609528,2
2025-06-28,39.9993336,-86.0435761,2
2025-06-11,33.626355,-112.0663915,2
2025-06-14,34.1280759,-84.448772,2
2025-06-14,28.0490925,-82.738479,2
2025-06-09,42.0912814,-70.7025997,2
2025-06-14,38.5759282,-121.4907022,2
2025-06-14,41.3552294,-72.0999133,2
2025-06-14,47.9252636,-97.0303914,2
2025-06-11,43.0875286,-89.362269,2
2025-06-14,20.8873281,-156.4751738,2
2025-06-14,38.5954712,-90.4910783,2
2025-06-14,24.7161554,-81.0757159,2
2025-06-14,39.9356369,-77.6595622,2
2025-06-09,40.5799279,-73.8374906,2
2025-06-14,26.544795,-81.868747,2
2025-06-14,37.7040677,-121.9177812,2
2025-06-14,41.8826581,-80.802242,2
2025-06-14,40.6307451,-74.1181234,2
2025-06-28,42.7263615,-87.7864411,2
2025-06-14,28.83598,-82.3301981,2
2025-06-14,33.8138114,-85.7613031,2
2025-06-14,42.7336274,-84.5553944,3
2025-06-14,43.6177493,-116.199599,2
2025-06-14,42.8494323,-106.3081055,2
2025-06-14,29.6474857,-81.6327057,2
2025-06-14,40.762551,-111.8462899,2
2025-06-14,26.1276376,-81.7643989,3
2025-06-14,44.9551923,-93.1019519,2
2025-06-14,40.3177306,-74.4383252,3
2025-06-14,27.6406691,-80.4489929,2
2025-06-14,41.0354264,-73.8090724,2
2025-06-14,41.4739045,-84.551739,2
2025-06-14,47.8099557,-122.3768079,2
2025-06-14,32.2151229,-80.7042399,3
2025-06-13,30.3568213,-97.730807,2
2025-06-28,36.07347,-95.7929546,9
2025-06-14,40.685789,-74.3164784,2
2025-06-14,42.8540699,-72.5582851,2
2025-06-14,30.1649608,-81.7471304,2
2025-06-14,42.5471339,-70.8846675,2
2025-06-14,37.2764875,-107.8793916,2
2025-06-10,35.9023304,-78.8882947,2
